epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,628.269,1.57257,1.1231,1.55894,0.80222,0.50381,0.55057,0.27138,1.79038,1.17199,1.86143,0.0095941,0.0095941,0.0095941
43,641.931,1.55832,1.10119,1.54939,0.66205,0.51671,0.54856,0.26954,1.77059,1.18557,1.85199,0.0095842,0.0095842,0.0095842
44,656.422,1.55612,1.10464,1.55263,0.63897,0.51049,0.5336,0.25895,1.81767,1.20282,1.91047,0.0095743,0.0095743,0.0095743
45,670.426,1.57247,1.11977,1.54961,0.65543,0.5274,0.53699,0.2624,1.77943,1.19162,1.85277,0.0095644,0.0095644,0.0095644
46,685.541,1.53869,1.08916,1.54059,0.65586,0.48713,0.52899,0.25744,1.80899,1.19081,1.88401,0.0095545,0.0095545,0.0095545
47,703.76,1.55456,1.10941,1.55224,0.53842,0.5232,0.54293,0.27296,1.7973,1.17704,1.8652,0.0095446,0.0095446,0.0095446
48,731.006,1.55012,1.11436,1.54147,0.67096,0.51466,0.56701,0.27496,1.77832,1.16344,1.83546,0.0095347,0.0095347,0.0095347
49,745.524,1.54099,1.08984,1.53703,0.79565,0.48793,0.55612,0.26824,1.79572,1.16785,1.8792,0.0095248,0.0095248,0.0095248
50,771.475,1.54039,1.0722,1.51945,0.72749,0.53629,0.55769,0.26767,1.81325,1.17514,1.88565,0.0095149,0.0095149,0.0095149
51,796.641,1.54832,1.07298,1.51698,0.71528,0.52399,0.56637,0.27349,1.7766,1.1577,1.85222,0.009505,0.009505,0.009505
52,819.977,1.52248,1.05548,1.5133,0.68889,0.52359,0.56528,0.27214,1.80985,1.17049,1.87874,0.0094951,0.0094951,0.0094951
53,837.204,1.54624,1.06472,1.52623,0.6466,0.55203,0.5629,0.26585,1.80167,1.15934,1.86201,0.0094852,0.0094852,0.0094852
54,852.264,1.52192,1.05154,1.52813,0.53538,0.53006,0.55373,0.26972,1.77285,1.13359,1.85049,0.0094753,0.0094753,0.0094753
55,884.545,1.51212,1.04075,1.49906,0.67944,0.54214,0.57568,0.2775,1.78718,1.13133,1.87866,0.0094654,0.0094654,0.0094654
56,900.931,1.51628,1.03044,1.52462,0.59229,0.5287,0.55539,0.27638,1.77492,1.15529,1.86926,0.0094555,0.0094555,0.0094555
57,915.581,1.5136,1.02804,1.498,0.72441,0.52283,0.56584,0.27577,1.76703,1.14524,1.84799,0.0094456,0.0094456,0.0094456
58,941.666,1.51159,1.02639,1.51642,0.71418,0.53363,0.56291,0.27419,1.78285,1.13918,1.83385,0.0094357,0.0094357,0.0094357
59,960.384,1.50189,1.02974,1.51289,0.64325,0.53567,0.5479,0.26958,1.78511,1.1625,1.87766,0.0094258,0.0094258,0.0094258
60,979.466,1.5031,1.03227,1.50899,0.58238,0.55713,0.5815,0.27908,1.77134,1.13372,1.84064,0.0094159,0.0094159,0.0094159
61,998.085,1.49684,1.01066,1.50128,0.68927,0.50876,0.54288,0.26334,1.80682,1.16537,1.87984,0.009406,0.009406,0.009406
62,1024.51,1.47983,1.01178,1.49276,0.62136,0.56359,0.5603,0.26941,1.79496,1.15897,1.87285,0.0093961,0.0093961,0.0093961
63,1041.25,1.47844,0.9766,1.47579,0.65442,0.52489,0.55971,0.27411,1.81371,1.11682,1.89992,0.0093862,0.0093862,0.0093862
64,1057.07,1.48979,1.00994,1.49713,0.6094,0.51042,0.53067,0.25983,1.81836,1.15876,1.87357,0.0093763,0.0093763,0.0093763
65,1095.45,1.48018,0.99468,1.49229,0.7582,0.50944,0.57121,0.27255,1.80033,1.11622,1.88985,0.0093664,0.0093664,0.0093664
66,1111.15,1.48625,0.98165,1.491,0.64789,0.54546,0.57817,0.27608,1.81877,1.12475,1.87335,0.0093565,0.0093565,0.0093565
67,1125.34,1.4849,0.98986,1.48111,0.70987,0.53765,0.57364,0.2752,1.81713,1.13743,1.90184,0.0093466,0.0093466,0.0093466
68,1140.14,1.45741,0.96919,1.46939,0.5425,0.55596,0.56407,0.27363,1.78832,1.1095,1.87089,0.0093367,0.0093367,0.0093367
69,1157.22,1.46824,0.97649,1.47504,0.70916,0.52896,0.56946,0.27685,1.8079,1.12697,1.88119,0.0093268,0.0093268,0.0093268
70,1179.09,1.46124,0.96343,1.47375,0.74829,0.50628,0.56299,0.27436,1.80461,1.10085,1.88419,0.0093169,0.0093169,0.0093169
71,1199.61,1.46454,0.96498,1.46676,0.65309,0.5536,0.57225,0.2751,1.80927,1.10505,1.89004,0.009307,0.009307,0.009307
72,1213.73,1.46715,0.97437,1.4846,0.69886,0.52635,0.56199,0.27567,1.81401,1.10055,1.87873,0.0092971,0.0092971,0.0092971
73,1228.85,1.46626,0.96114,1.46979,0.71762,0.54142,0.57466,0.27904,1.79654,1.12125,1.90174,0.0092872,0.0092872,0.0092872
74,1243.92,1.44511,0.95074,1.47976,0.5515,0.54094,0.55737,0.27131,1.79785,1.10025,1.87609,0.0092773,0.0092773,0.0092773
75,1257.72,1.47418,0.96989,1.47002,0.74818,0.53267,0.57576,0.279,1.76996,1.10437,1.86895,0.0092674,0.0092674,0.0092674
76,1275.41,1.451,0.93848,1.45614,0.76408,0.51345,0.57615,0.2726,1.81268,1.11108,1.89149,0.0092575,0.0092575,0.0092575
77,1291.5,1.45813,0.94832,1.4746,0.66972,0.55502,0.58283,0.2764,1.80818,1.07589,1.86873,0.0092476,0.0092476,0.0092476
78,1306.83,1.44625,0.95165,1.46099,0.55079,0.56422,0.57379,0.2736,1.8155,1.09531,1.89911,0.0092377,0.0092377,0.0092377
79,1321.82,1.43953,0.91804,1.45468,0.69414,0.5499,0.57385,0.27853,1.80436,1.0898,1.87936,0.0092278,0.0092278,0.0092278
80,1337.79,1.44433,0.93109,1.44914,0.68614,0.55486,0.5744,0.27504,1.79001,1.09209,1.85834,0.0092179,0.0092179,0.0092179
